id,source_id,damage_gra,damage_class,damage_percent,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_catia_03704,15430,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.976227,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591930290818677,-67.00745189352628,"https://www.google.com/maps/search/?api=1&query=10.591930290818677,-67.00745189352628"
msft_catia_03705,15431,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59195707105144,-67.00712487445074,"https://www.google.com/maps/search/?api=1&query=10.59195707105144,-67.00712487445074"
msft_catia_03706,15432,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591975650903333,-67.00733737387591,"https://www.google.com/maps/search/?api=1&query=10.591975650903333,-67.00733737387591"
msft_catia_03707,15433,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59198341093954,-67.00728695402107,"https://www.google.com/maps/search/?api=1&query=10.59198341093954,-67.00728695402107"
msft_catia_03708,15434,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591990731007627,-67.0071912342913,"https://www.google.com/maps/search/?api=1&query=10.591990731007627,-67.0071912342913"
msft_catia_03709,15435,Damaged,external-predicted-damaged,100.0,1.0,0.978497,0.871817,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591985050759353,-67.00754289331381,"https://www.google.com/maps/search/?api=1&query=10.591985050759353,-67.00754289331381"
msft_catia_03710,15436,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592005131138839,-67.00700681481213,"https://www.google.com/maps/search/?api=1&query=10.592005131138839,-67.00700681481213"
msft_catia_03711,15437,Damaged,external-predicted-damaged,100.0,1.0,0.814239,0.649501,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.59201629068431,-67.0076532930307,"https://www.google.com/maps/search/?api=1&query=10.59201629068431,-67.0076532930307"
msft_catia_03712,15438,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592023958384843,-67.00686278236722,"https://www.google.com/maps/search/?api=1&query=10.592023958384843,-67.00686278236722"
msft_catia_03713,15439,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591993091344241,-67.00671385561436,"https://www.google.com/maps/search/?api=1&query=10.591993091344241,-67.00671385561436"
msft_catia_03714,15440,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.591993351570895,-67.00639229650461,"https://www.google.com/maps/search/?api=1&query=10.591993351570895,-67.00639229650461"
msft_catia_03715,15441,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592000051442081,-67.00657589600124,"https://www.google.com/maps/search/?api=1&query=10.592000051442081,-67.00657589600124"
msft_catia_03716,15443,Damaged,external-predicted-damaged,100.0,1.0,0.867836,0.746945,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592030511764666,-67.00612201727951,"https://www.google.com/maps/search/?api=1&query=10.592030511764666,-67.00612201727951"
msft_catia_03717,15444,Damaged,external-predicted-damaged,49.5,0.23225,0.383017,0.494716,0.76775,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592026531854055,-67.00599471762901,"https://www.google.com/maps/search/?api=1&query=10.592026531854055,-67.00599471762901"
msft_catia_03718,15445,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592046851357162,-67.00670219568535,"https://www.google.com/maps/search/?api=1&query=10.592046851357162,-67.00670219568535"
msft_catia_03719,15446,Damaged,external-predicted-damaged,100.0,1.0,1.0,1.0,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592075022967824,-67.00644733355394,"https://www.google.com/maps/search/?api=1&query=10.592075022967824,-67.00644733355394"
msft_catia_03720,15459,Damaged,external-predicted-damaged,100.0,1.0,0.906952,0.880676,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.592022050800146,-67.00748959348797,"https://www.google.com/maps/search/?api=1&query=10.592022050800146,-67.00748959348797"
